ime,država,spol,disciplina,zlate,srebrne,bronaste,skupaj
ZHANG Yufei,China,F,Swimming,0,1,5,6
MARCHAND Leon,France,M,Swimming,4,0,1,5
HUSKE Torri,United States,F,Swimming,3,2,0,5
O'CALLAGHAN Mollie,Australia,F,Swimming,3,1,1,5
SMITH Regan,United States,F,Swimming,2,3,0,5
McKEOWN Kaylee,Australia,F,Swimming,2,1,2,5
McINTOSH Summer,Canada,F,Swimming,3,1,0,4
BILES Simone,United States,F,Artistic Gymnastics,3,1,0,4
OKA Shinnosuke,Japan,M,Artistic Gymnastics,3,0,1,4
TITMUS Ariarne,Australia,F,Swimming,2,2,0,4
DOUGLASS Kate,United States,F,Swimming,2,2,0,4
WALSH Gretchen,United States,F,Swimming,2,2,0,4
LEDECKY Katie,United States,F,Swimming,2,1,1,4
ANDRADE Rebeca,Brazil,F,Artistic Gymnastics,1,2,1,4
YANG Junxuan,China,F,Swimming,0,1,3,4
KIM Woojin,Korea,M,Archery,3,0,0,3
LIM Sihyeon,Korea,F,Archery,3,0,0,3
LAVREYSEN Harrie,Netherlands,M,Cycling Track,3,0,0,3
CARRINGTON Lisa,New Zealand,F,Canoe Sprint,3,0,0,3
THOMAS Gabrielle,United States,F,Athletics,3,0,0,3
PAN Zhanle,China,M,Swimming,2,1,0,3
SUN Yingsha,China,F,Table Tennis,2,1,0,3
ANDREWS Ellesse,New Zealand,F,Cycling Track,2,1,0,3
DRESSEL Caeleb,United States,M,Swimming,2,1,0,3
HARRIS Meg,Australia,F,Swimming,1,2,0,3
XU Jiayu,China,M,Swimming,1,2,0,3
ZOU Jingyuan,China,M,Artistic Gymnastics,1,2,0,3
FINK Nic,United States,M,Swimming,1,2,0,3
McKEON Emma,Australia,F,Swimming,1,1,1,3
BOL Femke,Netherlands,F,Athletics,1,1,1,3
MURPHY Ryan,United States,M,Swimming,1,1,1,3
FINUCANE Emma,Great Britain,F,Cycling Track,1,0,2,3
HASSAN Sifan,Netherlands,F,Athletics,1,0,2,3
LEE Sunisa,United States,F,Artistic Gymnastics,1,0,2,3
CHALMERS Kyle,Australia,M,Swimming,0,2,1,3
RICHARDSON Matthew,Australia,M,Cycling Track,0,2,1,3
TANG Qianting,China,F,Swimming,0,2,1,3
ZHANG Boheng,China,M,Artistic Gymnastics,0,2,1,3
CSIPES Tamara,Hungary,F,Canoe Sprint,0,2,1,3
FOX Jessica,Australia,F,Canoe Slalom,2,0,0,2
JACK Shayna,Australia,F,Swimming,2,0,0,2
EVENEPOEL Remco,Belgium,M,Cycling Road,2,0,0,2
CHEN Meng,China,F,Table Tennis,2,0,0,2
CHEN Yiwen,China,F,Diving,2,0,0,2
FAN Zhendong,China,M,Table Tennis,2,0,0,2
QUAN Hongchan,China,F,Diving,2,0,0,2
SHENG Lihao,China,M,Shooting,2,0,0,2
WANG Chuqin,China,M,Table Tennis,2,0,0,2
WANG Liuyi,China,F,Artistic Swimming,2,0,0,2
WANG Qianyi,China,F,Artistic Swimming,2,0,0,2
RINER Teddy,France,M,Judo,2,0,0,2
LEMKE Max,Germany,M,Canoe Sprint,2,0,0,2
SCHOPF Jacob,Germany,M,Canoe Sprint,2,0,0,2
von BREDOW-WERNDL Jessica,Germany,F,Equestrian,2,0,0,2
CHEBET Beatrice,Kenya,F,Athletics,2,0,0,2
OH Sanguk,Korea,M,Fencing,2,0,0,2
HOSKIN Alicia,New Zealand,F,Canoe Sprint,2,0,0,2
YULO Carlos Edriel,Philippines,M,Artistic Gymnastics,2,0,0,2
SJOESTROEM Sarah,Sweden,F,Swimming,2,0,0,2
BENJAMIN Rai,United States,M,Athletics,2,0,0,2
FAULKNER Kristen,United States,F,Cycling Road,2,0,0,2
KIEFER Lee,United States,F,Fencing,2,0,0,2
McLAUGHLIN-LEVRONE Sydney,United States,F,Athletics,2,0,0,2
VALENTE Jennifer,United States,F,Cycling Track,2,0,0,2
TEBOGO Letsile,Botswana,M,Athletics,1,1,0,2
CHEN Yuxi,China,F,Diving,1,1,0,2
HUANG Yuting,China,F,Shooting,1,1,0,2
LIU Yang,China,M,Artistic Gymnastics,1,1,0,2
QIN Haiyang,China,M,Swimming,1,1,0,2
WANG Zongyuan,China,M,Diving,1,1,0,2
PINTADO Brian Daniel,Ecuador,M,Athletics,1,1,0,2
PEREZ Maria,Spain,F,Athletics,1,1,0,2
GABA Joan-Benjamin,France,M,Judo,1,1,0,2
MKHEIDZE Luka,France,M,Judo,1,1,0,2
RICHARDS Matthew,Great Britain,M,Swimming,1,1,0,2
SCOTT Duncan,Great Britain,M,Swimming,1,1,0,2
WERTH Isabell,Germany,F,Equestrian,1,1,0,2
MILAK Kristof,Hungary,M,Swimming,1,1,0,2
D'AMATO Alice,Italy,F,Artistic Gymnastics,1,1,0,2
ABE Hifumi,Japan,M,Judo,1,1,0,2
KANO Koki,Japan,M,Fencing,1,1,0,2
NAGASE Takanori,Japan,M,Judo,1,1,0,2
TSUNODA Natsumi,Japan,F,Judo,1,1,0,2
KIPYEGON Faith,Kenya,F,Athletics,1,1,0,2
NAM Suhyeon,Korea,F,Archery,1,1,0,2
ALFRED Julien,Saint Lucia,F,Athletics,1,1,0,2
KLAVER Lieke,Netherlands,F,Athletics,1,1,0,2
PEETERS Cathelijn,Netherlands,F,Athletics,1,1,0,2
LEITAO Iuri,Portugal,M,Cycling Track,1,1,0,2
ANGHEL Roxana,Romania,F,Rowing,1,1,0,2
BODNAR Ancuta,Romania,F,Rowing,1,1,0,2
RADIS Simona,Romania,F,Rowing,1,1,0,2
VRINCEANU Ioana,Romania,F,Rowing,1,1,0,2
SMITH Tatjana,South Africa,F,Swimming,1,1,0,2
ALEXY Jack,United States,M,Swimming,1,1,0,2
ARMSTRONG Hunter,United States,M,Swimming,1,1,0,2
BROWN Kaylyn,United States,F,Athletics,1,1,0,2
DEADMON Bryce,United States,M,Athletics,1,1,0,2
FINKE Bobby,United States,M,Swimming,1,1,0,2
GUILIANO Chris,United States,M,Swimming,1,1,0,2
HANCOCK Vincent,United States,M,Shooting,1,1,0,2
LITTLE Shamier,United States,F,Athletics,1,1,0,2
NORWOOD Vernon,United States,M,Athletics,1,1,0,2
RICHARDSON Sha'carri,United States,F,Athletics,1,1,0,2
SCRUGGS Lauren,United States,F,Fencing,1,1,0,2
SHACKELL Alex,United States,F,Swimming,1,1,0,2
SWANSON Charlie,United States,M,Swimming,1,1,0,2
WEITZEIL Abbey,United States,F,Swimming,1,1,0,2
SOUZA Beatriz,Brazil,F,Judo,1,0,1,2
VINCENT Katie,Canada,F,Canoe Sprint,1,0,1,2
CHANG Yani,China,F,Diving,1,0,1,2
MARTIN Alvaro,Spain,M,Athletics,1,0,1,2
AGBEGNENOU Clarisse,France,F,Judo,1,0,1,2
BOUKLI Shirine,France,F,Judo,1,0,1,2
BUCHARD Amandine,France,F,Judo,1,0,1,2
CYSIQUE Sarah Leonie,France,F,Judo,1,0,1,2
DICKO Romane,France,F,Judo,1,0,1,2
NGAYAP HAMBOU Maxime-Gael,France,M,Judo,1,0,1,2
COLLETT Laura,Great Britain,F,Equestrian,1,0,1,2
YEE Alex,Great Britain,M,Triathlon,1,0,1,2
WIFFEN Daniel,Ireland,M,Swimming,1,0,1,2
CECCON Thomas,Italy,M,Swimming,1,0,1,2
LEE Wooseok,Korea,M,Archery,1,0,1,2
POPOVICI David,Romania,M,Swimming,1,0,1,2
KHARLAN Olga,Ukraine,F,Fencing,1,0,1,2
BERKOFF Katharine,United States,F,Swimming,1,0,1,2
CAREY Jade,United States,F,Artistic Gymnastics,1,0,1,2
DYGERT Chloe,United States,F,Cycling Track,1,0,1,2
JEFFERSON Melissa,United States,F,Athletics,1,0,1,2
LYLES Noah,United States,M,Athletics,1,0,1,2
MALLO-BRETON Auriane,France,F,Fencing,0,2,0,2
MACCHI Filippo,Italy,M,Fencing,0,2,0,2
MURAO Sanshiro,Japan,M,Judo,0,2,0,2
MOREGARD Truls,Sweden,M,Table Tennis,0,2,0,2
MANUEL Simone,United States,F,Swimming,0,2,0,2
ANDERSON Iona,Australia,F,Swimming,0,1,1,2
SOUTHAM Flynn,Australia,M,Swimming,0,1,1,2
STUBBLETY-COOK Zac,Australia,M,Swimming,0,1,1,2
TAYLOR Kai,Australia,M,Swimming,0,1,1,2
WINNINGTON Elijah,Australia,M,Swimming,0,1,1,2
LIMA Willian,Brazil,M,Judo,0,1,1,2
XIAO Ruoteng,China,M,Artistic Gymnastics,0,1,1,2
BARKER Elinor,Great Britain,F,Cycling Track,0,1,1,2
CARLIN Jack,Great Britain,M,Cycling Track,0,1,1,2
HUDSON-SMITH Matthew,Great Britain,M,Athletics,0,1,1,2
WILLIAMS Noah,Great Britain,M,Diving,0,1,1,2
FRIEDRICH Lea,Germany,F,Cycling Track,0,1,1,2
HAKE Jule Marie,Germany,F,Canoe Sprint,0,1,1,2
PASZEK Paulina,Germany,F,Canoe Sprint,0,1,1,2
